Codigo,adm,Intereses,sancion,parqueaderos,otros valores,retroactivo,total,saldo a favor
1101,0,0,0,0,0,0,76800,0
1102,0,0,0,0,0,0,54000,0
1103,0,0,0,0,0,0,689485,0
1104,0,0,0,0,0,0,161600,0
1201,0,0,0,0,0,0,136600,0
1202,0,0,0,0,0,0,317644,0
1203,0,0,0,0,0,0,521078,0
1204,0,0,0,0,0,0,204800,0
1301,0,0,0,0,0,0,39932,0
1302,0,0,0,0,0,0,28900,0
1303,0,0,0,0,0,0,8000,0
1304,0,0,0,0,0,0,3072800,0
1401,0,0,0,0,0,0,582100,0
1402,0,0,0,0,0,0,84300,0
1403,0,0,0,0,0,0,109000,0
1404,0,0,0,0,0,0,61900,0
1501,0,0,0,0,0,0,10100,0
1502,0,0,0,0,0,0,74200,0
1503,0,0,0,0,0,0,0,137700
1504,0,0,0,0,0,0,1922631,0
1601,0,0,0,0,0,0,445583,0
1602,0,0,0,0,0,0,54000,0
1603,0,0,0,0,0,0,233800,0
1604,0,0,0,0,0,0,57000,0
2101,0,0,0,0,0,0,20200,0
2102,0,0,0,0,0,0,0,4100
2103,0,0,0,0,0,0,79600,0
2104,0,0,0,0,0,0,50000,0
2201,0,0,0,0,0,0,60100,0
2202,0,0,0,0,0,0,0,5100
2203,0,0,0,0,0,0,30300,0
2204,0,0,0,0,0,0,337500,0
2301,0,0,0,0,0,0,44500,0
2302,0,0,0,0,0,0,250500,0
2303,0,0,0,0,0,0,158100,0
2304,0,0,0,0,0,0,57000,0
2401,0,0,0,0,0,0,579700,0
2402,0,0,0,0,0,0,415600,0
2403,0,0,0,0,0,0,72800,0
2404,0,0,0,0,0,0,57000,0
2501,0,0,0,0,0,0,97000,0
2502,0,0,0,0,0,0,64100,0
2503,0,0,0,0,0,0,55000,0
2504,0,0,0,0,0,0,57000,0
2601,0,0,0,0,0,0,49400,0
2602,0,0,0,0,0,0,1252800,0
2603,0,0,0,0,0,0,20200,0
2604,0,0,0,0,0,0,900000,0
3101,0,0,0,0,0,0,70200,0
3102,0,0,0,0,0,0,177394,0
3103,0,0,0,0,0,0,18000,0
3104,0,0,0,0,0,0,1593649,0
3201,0,0,0,0,0,0,163400,0
3202,0,0,0,0,0,0,58000,0
3203,0,0,0,0,0,0,54000,0
3204,0,0,0,0,0,0,135200,0
3301,0,0,0,0,0,0,3070933,0
3302,0,0,0,0,0,0,210000,0
3303,0,0,0,0,0,0,152800,0
3304,0,0,0,0,0,0,892588,0
3401,0,0,0,0,0,0,56400,0
3402,0,0,0,0,0,0,45666,0
3403,0,0,0,0,0,0,56200,0
3404,0,0,0,0,0,0,125200,0
3501,0,0,0,0,0,0,50000,0
3502,0,0,0,0,0,0,0,0
3503,0,0,0,0,0,0,65200,0
3504,0,0,0,0,0,0,87300,0
3601,0,0,0,0,0,0,2341331,0
3602,0,0,0,0,0,0,149400,0
3603,0,0,0,0,0,0,71000,0
3604,0,0,0,0,0,0,3993790,0
4101,0,0,0,0,0,0,80300,0
4102,0,0,0,0,0,0,725700,0
4103,0,0,0,0,0,0,74200,0
4104,0,0,0,0,0,0,139600,0
4201,0,0,0,0,0,0,1486200,0
4202,0,0,0,0,0,0,54000,0
4203,0,0,0,0,0,0,54000,0
4204,0,0,0,0,0,0,52800,0
4301,0,0,0,0,0,0,54200,0
4302,0,0,0,0,0,0,153700,0
4303,0,0,0,0,0,0,54000,0
4304,0,0,0,0,0,0,1174700,0
4401,0,0,0,0,0,0,20200,0
4402,0,0,0,0,0,0,64100,0
4403,0,0,0,0,0,0,61261,0
4404,0,0,0,0,0,0,82900,0
4501,0,0,0,0,0,0,50750,0
4502,0,0,0,0,0,0,54000,0
4503,0,0,0,0,0,0,54000,0
4504,0,0,0,0,0,0,54300,0
4601,0,0,0,0,0,0,107100,0
4602,0,0,0,0,0,0,64100,0
4603,0,0,0,0,0,0,54000,0
4604,0,0,0,0,0,0,20200,0
5101,0,0,0,0,0,0,80300,0
5102,0,0,0,0,0,0,0,7500
5103,0,0,0,0,0,0,70200,0
5104,0,0,0,0,0,0,67100,0
5201,0,0,0,0,0,0,50000,0
5202,0,0,0,0,0,0,77400,0
5203,0,0,0,0,0,0,54000,0
5204,0,0,0,0,0,0,72600,0
5301,0,0,0,0,0,0,0,200
5302,0,0,0,0,0,0,78437,0
5303,0,0,0,0,0,0,54000,0
5304,0,0,0,0,0,0,32122,0
5401,0,0,0,0,0,0,60100,0
5402,0,0,0,0,0,0,54000,0
5403,0,0,0,0,0,0,3292010,0
5404,0,0,0,0,0,0,554600,0
5501,0,0,0,0,0,0,0,0
5502,0,0,0,0,0,0,0,215400
5503,0,0,0,0,0,0,109000,0
5504,0,0,0,0,0,0,1019200,0
5601,0,0,0,0,0,0,57100,0
5602,0,0,0,0,0,0,1596322,0
5603,0,0,0,0,0,0,761200,0
5604,0,0,0,0,0,0,0,54700
6101,0,0,0,0,0,0,70200,0
6102,0,0,0,0,0,0,74200,0
6103,0,0,0,0,0,0,742800,0
6104,0,0,0,0,0,0,50000,0
6201,0,0,0,0,0,0,65400,0
6202,0,0,0,0,0,0,54000,0
6203,0,0,0,0,0,0,10100,0
6204,0,0,0,0,0,0,87300,0
6301,0,0,0,0,0,0,58800,0
6302,0,0,0,0,0,0,53200,0
6303,0,0,0,0,0,0,86400,0
6304,0,0,0,0,0,0,135200,0
6401,0,0,0,0,0,0,25300,0
6402,0,0,0,0,0,0,53900,0
6403,0,0,0,0,0,0,225500,0
6404,0,0,0,0,0,0,68700,0
6501,0,0,0,0,0,0,212200,0
6502,0,0,0,0,0,0,128643,0
6503,0,0,0,0,0,0,54000,0
6504,0,0,0,0,0,0,941610,0
6601,0,0,0,0,0,0,185800,0
6602,0,0,0,0,0,0,1277200,0
6603,0,0,0,0,0,0,1026005,0
6604,0,0,0,0,0,0,77200,0
7101,0,0,0,0,0,0,20200,0
7102,0,0,0,0,0,0,235200,0
7103,0,0,0,0,0,0,20200,0
7104,0,0,0,0,0,0,159920,0
7201,0,0,0,0,0,0,1359290,0
7202,0,0,0,0,0,0,82000,0
7203,0,0,0,0,0,0,1735000,0
7204,0,0,0,0,0,0,44600,0
7301,0,0,0,0,0,0,276000,0
7302,0,0,0,0,0,0,54000,0
7303,0,0,0,0,0,0,159870,0
7304,0,0,0,0,0,0,165300,0
7401,0,0,0,0,0,0,34200,0
7402,0,0,0,0,0,0,54000,0
7403,0,0,0,0,0,0,113400,0
7404,0,0,0,0,0,0,66200,0
7501,0,0,0,0,0,0,79800,0
7502,0,0,0,0,0,0,142200,0
7503,0,0,0,0,0,0,59600,0
7504,0,0,0,0,0,0,77200,0
7601,0,0,0,0,0,0,674400,0
7602,0,0,0,0,0,0,54000,0
7603,0,0,0,0,0,0,30300,0
7604,0,0,0,0,0,0,77200,0
8101,0,0,0,0,0,0,0,3360
8102,0,0,0,0,0,0,2054200,0
8103,0,0,0,0,0,0,155200,0
8104,0,0,0,0,0,0,68600,0
8201,0,0,0,0,0,0,48724,0
8202,0,0,0,0,0,0,54000,0
8203,0,0,0,0,0,0,65900,0
8204,0,0,0,0,0,0,32300,0
8301,0,0,0,0,0,0,14200,0
8302,0,0,0,0,0,0,239100,0
8303,0,0,0,0,0,0,54000,0
8304,0,0,0,0,0,0,73750,0
8401,0,0,0,0,0,0,149100,0
8402,0,0,0,0,0,0,76400,0
8403,0,0,0,0,0,0,2541251,0
8404,0,0,0,0,0,0,30300,0
8501,0,0,0,0,0,0,1644690,0
8502,0,0,0,0,0,0,54000,0
8503,0,0,0,0,0,0,194000,0
8504,0,0,0,0,0,0,0,6137
8601,0,0,0,0,0,0,100400,0
8602,0,0,0,0,0,0,74200,0
8603,0,0,0,0,0,0,93300,0
8604,0,0,0,0,0,0,77200,0
9101,0,0,0,0,0,0,1661493,0
