"CODIGO","SALDO","OTROS","INTERESES ","  SANCIÓN"," CARRO"," MOTO","subtotal"," SALDO A FAVOR"
"1101","0","0","0","0","0","0","0","0"
"1102","0","0","0","0","0","0","0","0"
"1103","0","0","0","0","0","0","0","0"
"1104","0","0","0","0","0","0","0","0"
"1105","0","0","0","0","0","0","0","0"
"1106","0","0","0","0","0","0","0","0"
"1201","0","0","0","0","0","0","0","0"
"1202","0","0","0","0","0","0","0","0"
"1203","0","0","0","0","0","0","0","0"
"1204","0","0","0","0","0","0","0","0"
"1205","0","0","0","0","0","0","0","0"
"1206","0","0","0","0","0","0","0","0"
"1301","0","0","0","0","0","0","0","0"
"1302","0","0","0","0","0","0","0","0"
"1303","0","0","0","0","0","0","0","0"
"1304","0","0","0","0","0","0","0","0"
"1305","0","0","0","0","0","0","0","0"
"1306","0","0","0","0","0","0","0","0"
"1401","0","0","0","0","0","0","0","0"
"1402","0","0","0","0","0","0","0","0"
"1403","0","0","0","0","0","0","0","0"
"1404","0","0","0","0","0","0","0","0"
"1405","0","0","0","0","0","0","0","0"
"1406","0","0","0","0","0","0","0","0"
"1501","0","0","0","0","0","0","0","0"
"1502","0","0","0","0","0","0","0","0"
"1503","0","0","0","0","0","0","0","0"
"1504","0","0","0","0","0","0","0","0"
"1505","0","0","0","0","0","0","0","0"
"1506","0","0","0","0","0","0","0","0"
"1601","0","0","0","0","0","0","0","0"
"1602","0","0","0","0","0","0","0","0"
"1603","0","0","0","0","0","0","0","0"
"1604","0","0","0","0","0","0","0","0"
"1605","0","0","0","0","0","0","0","0"
"1606","0","0","0","0","0","0","0","0"
"1701","0","0","0","0","0","0","0","0"
"1702","0","0","0","0","0","0","0","0"
"1703","0","0","0","0","0","0","0","0"
"1704","0","0","0","0","0","0","0","0"
"1705","0","0","0","0","0","0","0","0"
"1706","0","0","0","0","0","0","0","0"
"1801","0","0","0","0","0","0","0","0"
"1802","0","0","0","0","0","0","0","0"
"1803","0","0","0","0","0","0","0","0"
"1804","0","0","0","0","0","0","0","0"
"1805","0","0","0","0","0","0","0","0"
"1806","0","0","0","0","0","0","0","0"
"2101","0","0","0","0","0","0","0","0"
"2102","0","0","0","0","0","0","0","0"
"2103","0","0","0","0","0","0","0","0"
"2104","0","0","0","0","0","0","0","0"
"2201","0","0","0","0","0","0","0","0"
"2202","0","0","0","0","0","0","0","0"
"2203","0","0","0","0","0","0","0","0"
"2204","0","0","0","0","0","0","0","0"
"2301","0","0","0","0","0","0","0","0"
"2302","0","0","0","0","0","0","0","0"
"2303","0","0","0","0","0","0","0","0"
"2304","0","0","0","0","0","0","0","0"
"2401","0","0","0","0","0","0","0","0"
"2402","0","0","0","0","0","0","0","0"
"2403","0","0","0","0","0","0","0","0"
"2404","0","0","0","0","0","0","0","0"
"2501","0","0","0","0","0","0","0","0"
"2502","0","0","0","0","0","0","0","0"
"2503","0","0","0","0","0","0","0","0"
"2504","0","0","0","0","0","0","0","0"
"2601","0","0","0","0","0","0","0","0"
"2602","0","0","0","0","0","0","0","0"
"2603","0","0","0","0","0","0","0","0"
"2604","0","0","0","0","0","0","0","0"
"2701","0","0","0","0","0","0","0","0"
"2702","0","0","0","0","0","0","0","0"
"2703","0","0","0","0","0","0","0","0"
"2704","0","0","0","0","0","0","0","0"
"2801","0","0","0","0","0","0","0","0"
"2802","0","0","0","0","0","0","0","0"
"2803","0","0","0","0","0","0","0","0"
"2804","0","0","0","0","0","0","0","0"
"3101","0","0","0","0","0","0","0","0"
"3102","0","0","0","0","0","0","0","0"
"3103","0","0","0","0","0","0","0","0"
"3104","0","0","0","0","0","0","0","0"
"3105","0","0","0","0","0","0","0","0"
"3106","0","0","0","0","0","0","0","0"
"3107","0","0","0","0","0","0","0","0"
"3108","0","0","0","0","0","0","0","0"
"3201","0","0","0","0","0","0","0","0"
"3202","0","0","0","0","0","0","0","0"
"3203","0","0","0","0","0","0","0","0"
"3204","0","0","0","0","0","0","0","0"
"3205","0","0","0","0","0","0","0","0"
"3206","0","0","0","0","0","0","0","0"
"3207","0","0","0","0","0","0","0","0"
"3208","0","0","0","0","0","0","0","0"
"3301","0","0","0","0","0","0","0","0"
"3302","0","0","0","0","0","0","0","0"
"3303","0","0","0","0","0","0","0","0"
"3304","0","0","0","0","0","0","0","0"
"3305","0","0","0","0","0","0","0","0"
"3306","0","0","0","0","0","0","0","0"
"3307","0","0","0","0","0","0","0","0"
"3308","0","0","0","0","0","0","0","0"
"3401","0","0","0","0","0","0","0","0"
"3402","0","0","0","0","0","0","0","0"
"3403","0","0","0","0","0","0","0","0"
"3404","0","0","0","0","0","0","0","0"
"3405","0","0","0","0","0","0","0","0"
"3406","0","0","0","0","0","0","0","0"
"3407","0","0","0","0","0","0","0","0"
"3408","0","0","0","0","0","0","0","0"
"3501","0","0","0","0","0","0","0","0"
"3502","0","0","0","0","0","0","0","0"
"3503","0","0","0","0","0","0","0","0"
"3504","0","0","0","0","0","0","0","0"
"3505","0","0","0","0","0","0","0","0"
"3506","0","0","0","0","0","0","0","0"
"3507","0","0","0","0","0","0","0","0"
"3508","0","0","0","0","0","0","0","0"
"3601","0","0","0","0","0","0","0","0"
"3602","0","0","0","0","0","0","0","0"
"3603","0","0","0","0","0","0","0","0"
"3604","0","0","0","0","0","0","0","0"
"3605","0","0","0","0","0","0","0","0"
"3606","0","0","0","0","0","0","0","0"
"3607","0","0","0","0","0","0","0","0"
"3608","0","0","0","0","0","0","0","0"
"3701","0","0","0","0","0","0","0","0"
"3702","0","0","0","0","0","0","0","0"
"3703","0","0","0","0","0","0","0","0"
"3704","0","0","0","0","0","0","0","0"
"3705","0","0","0","0","0","0","0","0"
"3706","0","0","0","0","0","0","0","0"
"3707","0","0","0","0","0","0","0","0"
"3708","0","0","0","0","0","0","0","0"
"3801","0","0","0","0","0","0","0","0"
"3802","0","0","0","0","0","0","0","0"
"3803","0","0","0","0","0","0","0","0"
"3804","0","0","0","0","0","0","0","0"
"3805","0","0","0","0","0","0","0","0"
"3806","0","0","0","0","0","0","0","0"
"3807","0","0","0","0","0","0","0","0"
"3808","0","0","0","0","0","0","0","0"
"4101","0","0","0","0","0","0","0","0"
"4102","0","0","0","0","0","0","0","0"
"4103","0","0","0","0","0","0","0","0"
"4104","0","0","0","0","0","0","0","0"
"4105","0","0","0","0","0","0","0","0"
"4106","0","0","0","0","0","0","0","0"
"4107","0","0","0","0","0","0","0","0"
"4108","0","0","0","0","0","0","0","0"
"4201","0","0","0","0","0","0","0","0"
"4202","0","0","0","0","0","0","0","0"
"4203","0","0","0","0","0","0","0","0"
"4204","0","0","0","0","0","0","0","0"
"4205","0","0","0","0","0","0","0","0"
"4206","0","0","0","0","0","0","0","0"
"4207","0","0","0","0","0","0","0","0"
"4208","0","0","0","0","0","0","0","0"
"4301","0","0","0","0","0","0","0","0"
"4302","0","0","0","0","0","0","0","0"
"4303","0","0","0","0","0","0","0","0"
"4304","0","0","0","0","0","0","0","0"
"4305","0","0","0","0","0","0","0","0"
"4306","0","0","0","0","0","0","0","0"
"4307","0","0","0","0","0","0","0","0"
"4308","0","0","0","0","0","0","0","0"
"4401","0","0","0","0","0","0","0","0"
"4402","0","0","0","0","0","0","0","0"
"4403","0","0","0","0","0","0","0","0"
"4404","0","0","0","0","0","0","0","0"
"4405","0","0","0","0","0","0","0","0"
"4406","0","0","0","0","0","0","0","0"
"4407","0","0","0","0","0","0","0","0"
"4408","0","0","0","0","0","0","0","0"
"4501","0","0","0","0","0","0","0","0"
"4502","0","0","0","0","0","0","0","0"
"4503","0","0","0","0","0","0","0","0"
"4504","0","0","0","0","0","0","0","0"
"4505","0","0","0","0","0","0","0","0"
"4506","0","0","0","0","0","0","0","0"
"4507","0","0","0","0","0","0","0","0"
"4508","0","0","0","0","0","0","0","0"
"4601","0","0","0","0","0","0","0","0"
"4602","0","0","0","0","0","0","0","0"
"4603","0","0","0","0","0","0","0","0"
"4604","0","0","0","0","0","0","0","0"
"4605","0","0","0","0","0","0","0","0"
"4606","0","0","0","0","0","0","0","0"
"4607","0","0","0","0","0","0","0","0"
"4608","0","0","0","0","0","0","0","0"
"4701","0","0","0","0","0","0","0","0"
"4702","0","0","0","0","0","0","0","0"
"4703","0","0","0","0","0","0","0","0"
"4704","0","0","0","0","0","0","0","0"
"4705","0","0","0","0","0","0","0","0"
"4706","0","0","0","0","0","0","0","0"
"4707","0","0","0","0","0","0","0","0"
"4708","0","0","0","0","0","0","0","0"
"4801","0","0","0","0","0","0","0","0"
"4802","0","0","0","0","0","0","0","0"
"4803","0","0","0","0","0","0","0","0"
"4804","0","0","0","0","0","0","0","0"
"4805","0","0","0","0","0","0","0","0"
"4806","0","0","0","0","0","0","0","0"
"4807","0","0","0","0","0","0","0","0"
"4808","0","0","0","0","0","0","0","0"
